                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6596      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6 
                    log_star_age                           radius                        star_mass                       luminosity                   center_entropy                  Bolometric_Flux 
         6.4879965953763277E+000          9.6053201705286043E-002          5.1513086668007243E-005          1.4467078504221384E-008          7.9443441110185580E+000          5.1251792754523940E+006 
         6.5380562599103813E+000          9.4653030559476353E-002          5.1513086668007243E-005          1.3579844610609141E-008          7.9198265722888275E+000          4.9768484615537701E+006 
         6.5857824040936226E+000          9.3293315637001994E-002          5.1513086668007243E-005          1.2730320393912756E-008          7.8951282437903529E+000          4.8348880920488155E+006 
         6.6314929786539105E+000          9.1975295014668126E-002          5.1513086668007243E-005          1.1917249110985280E-008          7.8703225203083464E+000          4.6992413334740372E+006 
         6.6754334306233840E+000          9.0700953253026850E-002          5.1513086668007243E-005          1.1131632572673526E-008          7.8454345429630283E+000          4.5699250038896007E+006 
         6.7174808656508631E+000          8.9481247174163878E-002          5.1513086668007243E-005          1.0382016073670325E-008          7.8207581763422764E+000          4.4478427764058392E+006 
         6.7572754060125098E+000          8.8331338564907769E-002          5.1513086668007243E-005          9.6799205781406017E-009          7.7966663592559327E+000          4.3342603366532335E+006 
         6.7945792510157839E+000          8.7260667545297738E-002          5.1513086668007243E-005          9.0386954188489874E-009          7.7734435739039540E+000          4.2298253156831469E+006 
         6.8295002492391292E+000          8.6266337379963046E-002          5.1513086668007243E-005          8.4603053494638495E-009          7.7510929861212983E+000          4.1339773155000652E+006 
         6.8622273543733519E+000          8.5343392745253321E-002          5.1513086668007243E-005          7.9350527281350992E-009          7.7296469009544673E+000          4.0459934723857087E+006 
         6.8929256880970629E+000          8.4487224924069293E-002          5.1513086668007243E-005          7.4592012739928911E-009          7.7090819113675417E+000          3.9652215795870158E+006 
         6.9217429370701833E+000          8.3693059737456499E-002          5.1513086668007243E-005          7.0284173958459966E-009          7.6894693196261299E+000          3.8910271502966550E+006 
         6.9488307329720307E+000          8.2956116253872170E-002          5.1513086668007243E-005          6.6375847475350080E-009          7.6707404598401014E+000          3.8228054210180836E+006 
         6.9742869698129217E+000          8.2272690036456722E-002          5.1513086668007243E-005          6.2842025540552474E-009          7.6528575104311951E+000          3.7600772289743503E+006 
         6.9982159160229500E+000          8.1638798626382500E-002          5.1513086668007243E-005          5.9638457034193100E-009          7.6358516104974292E+000          3.7023594472594936E+006 
         7.0207068247514854E+000          8.1051002773110781E-002          5.1513086668007243E-005          5.6721069362342402E-009          7.6196642650109494E+000          3.6492377164157568E+006 
         7.0418416374975061E+000          8.0506073832771669E-002          5.1513086668007243E-005          5.4064450294218434E-009          7.6042986918478261E+000          3.6003329454537951E+006 
         7.0616976903581410E+000          8.0000951285493421E-002          5.1513086668007243E-005          5.1645233639152968E-009          7.5897343476217447E+000          3.5552952489250698E+006 
         7.0803479266364846E+000          7.9532692902361146E-002          5.1513086668007243E-005          4.9442496960236200E-009          7.5759145798108269E+000          3.5137976262854170E+006 
         7.0978607658654891E+000          7.9098512060625750E-002          5.1513086668007243E-005          4.7433500535358809E-009          7.5628598704391399E+000          3.4755376541395918E+006 
         7.1141238481792106E+000          7.8700038766174735E-002          5.1513086668007243E-005          4.5627537331351705E-009          7.5506629118591491E+000          3.4406085376146920E+006 
         7.1294347237822215E+000          7.8329054899505896E-002          5.1513086668007243E-005          4.3977038863716260E-009          7.5391066577228196E+000          3.4082476431150804E+006 
         7.1440411186977837E+000          7.7978911162598419E-002          5.1513086668007243E-005          4.2447984633116501E-009          7.5280192945201909E+000          3.3778448947864133E+006 
         7.1580511871395105E+000          7.7646515751429043E-002          5.1513086668007243E-005          4.1022916769854982E-009          7.5173752897218602E+000          3.3491092500687190E+006 
         7.1714049252163274E+000          7.7332803725938745E-002          5.1513086668007243E-005          3.9702081038662756E-009          7.5071500410451302E+000          3.3221013830583706E+006 
         7.1840804848485424E+000          7.7037819041704078E-002          5.1513086668007243E-005          3.8481894872982008E-009          7.4974291106101374E+000          3.2968055204326054E+006 
         7.1960773674805862E+000          7.6761125055676435E-002          5.1513086668007243E-005          3.7358705045136694E-009          7.4882051470241393E+000          3.2731660118745146E+006 
         7.2074138802900904E+000          7.6501878379222371E-002          5.1513086668007243E-005          3.6321460695871825E-009          7.4794493122558263E+000          3.2510943060304071E+006 
         7.2181140756323483E+000          7.6259181063916368E-002          5.1513086668007243E-005          3.5365783291573581E-009          7.4711591350205504E+000          3.2304992487580949E+006 
         7.2282001168081536E+000          7.6032183879242543E-002          5.1513086668007243E-005          3.4485509270069113E-009          7.4633396371809626E+000          3.2112957164613954E+006 
         7.2376619985072042E+000          7.5820816227116991E-002          5.1513086668007243E-005          3.3677118781550392E-009          7.4559891462143781E+000          3.1934658836880629E+006 
         7.2465009768544792E+000          7.5624725673906504E-002          5.1513086668007243E-005          3.2937771435799027E-009          7.4491032372633867E+000          3.1769691282765507E+006 
         7.2548413919892054E+000          7.5440900700648600E-002          5.1513086668007243E-005          3.2253549106650102E-009          7.4426142000908069E+000          3.1615430497665680E+006 
         7.2627001159414082E+000          7.5268777947809465E-002          5.1513086668007243E-005          3.1620528614986583E-009          7.4364724281071943E+000          3.1471330226767543E+006 
         7.2701209199056880E+000          7.5107208721356719E-002          5.1513086668007243E-005          3.1033136434003478E-009          7.4306791257452698E+000          3.1336364808256817E+006 
         7.2771810375489450E+000          7.4954342042365202E-002          5.1513086668007243E-005          3.0483493920866310E-009          7.4251588502073185E+000          3.1208935997210704E+006 
         7.2839453273915744E+000          7.4808659167214908E-002          5.1513086668007243E-005          2.9965225094610390E-009          7.4198540365200136E+000          3.1087737172419913E+006 
         7.2904655580748772E+000          7.4668962284888118E-002          5.1513086668007243E-005          2.9473284363892314E-009          7.4147524903252719E+000          3.0971739770381628E+006 
         7.2967838319944329E+000          7.4534271108359890E-002          5.1513086668007243E-005          2.9003641591942575E-009          7.4098138006852112E+000          3.0860104159951974E+006 
         7.3029335385450622E+000          7.4403805381179036E-002          5.1513086668007243E-005          2.8553129991781326E-009          7.4049788206008955E+000          3.0752162883355375E+006 
         7.3089414355651883E+000          7.4276957515930372E-002          5.1513086668007243E-005          2.8119246196850785E-009          7.4002868729961166E+000          3.0647396171474489E+006 
